use_case,criterion_code,criterion_name,criterion_label,benefit_or_cost,weight,ahp_weight,fuzzy_weight,ensemble_weight_raw,weights_status,weights_source,expert_validated,note
irrigation,C1,treatment_fit,Treatment fit / pollutant-gap closure,benefit,0.228136,,,0.228136,FINAL_V1_AHP_FUZZY_ENSEMBLE,final_working_weights_used_in_this_report,0,"Final working weights used in this report; irrigation crisp + fuzzy AHP ensemble after O&M re-blend, 2026-06-30. Not labelled expert-validated unless supervisor approval is documented."
irrigation,C2,standard_fit,Use-case standard fit,benefit,0.228136,,,0.228136,FINAL_V1_AHP_FUZZY_ENSEMBLE,final_working_weights_used_in_this_report,0,"Final working weights used in this report; irrigation crisp + fuzzy AHP ensemble after O&M re-blend, 2026-06-30. Not labelled expert-validated unless supervisor approval is documented."
irrigation,C3,site_fit,Site / applicability fit,benefit,0.095330,,,0.095330,FINAL_V1_AHP_FUZZY_ENSEMBLE,final_working_weights_used_in_this_report,0,"Final working weights used in this report; irrigation crisp + fuzzy AHP ensemble after O&M re-blend, 2026-06-30. Not labelled expert-validated unless supervisor approval is documented."
irrigation,C4,source_fit,Pollution-source fit,benefit,0.117709,,,0.117709,FINAL_V1_AHP_FUZZY_ENSEMBLE,final_working_weights_used_in_this_report,0,"Final working weights used in this report; irrigation crisp + fuzzy AHP ensemble after O&M re-blend, 2026-06-30. Not labelled expert-validated unless supervisor approval is documented."
irrigation,C6,hydrologic_fit,Hydrologic / stream-order fit,benefit,0.057781,,,0.057781,FINAL_V1_AHP_FUZZY_ENSEMBLE,final_working_weights_used_in_this_report,0,"Final working weights used in this report; irrigation crisp + fuzzy AHP ensemble after O&M re-blend, 2026-06-30. Not labelled expert-validated unless supervisor approval is documented."
irrigation,C7,footprint_land,Footprint / land requirement,cost,0.117709,,,0.117709,FINAL_V1_AHP_FUZZY_ENSEMBLE,final_working_weights_used_in_this_report,0,"Final working weights used in this report; irrigation crisp + fuzzy AHP ensemble after O&M re-blend, 2026-06-30. Not labelled expert-validated unless supervisor approval is documented."
irrigation,C8,om_energy_difficulty,O&M / energy difficulty,cost,0.155200,,,0.155200,FINAL_V1_AHP_FUZZY_ENSEMBLE,final_working_weights_used_in_this_report,0,"Final working weights used in this report; irrigation crisp + fuzzy AHP ensemble after O&M re-blend, 2026-06-30. Not labelled expert-validated unless supervisor approval is documented."
drinking,C1,treatment_fit,Treatment fit / pollutant-gap closure,benefit,0.266800,0.270200,0.263400,0.266800,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
drinking,C2,standard_fit,Use-case standard fit,benefit,0.266800,0.270200,0.263400,0.266800,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
drinking,C3,site_fit,Site / applicability fit,benefit,0.106500,0.107200,0.105800,0.106500,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
drinking,C4,source_fit,Pollution-source fit,benefit,0.121700,0.120000,0.123400,0.121700,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
drinking,C6,hydrologic_fit,Hydrologic / stream-order fit,benefit,0.058250,0.056200,0.060300,0.058250,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
drinking,C7,footprint,Footprint / land requirement,cost,0.058250,0.056200,0.060300,0.058250,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
drinking,C8,om,O&M / energy difficulty,cost,0.121700,0.120000,0.123400,0.121700,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
discharge_inland,C1,treatment_fit,Treatment fit / pollutant-gap closure,benefit,0.258313,0.260400,0.256200,0.258300,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
discharge_inland,C2,standard_fit,Use-case standard fit,benefit,0.258313,0.260400,0.256200,0.258300,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
discharge_inland,C3,site_fit,Site / applicability fit,benefit,0.099705,0.100400,0.099000,0.099700,temporary_not_expert_validated,crisp_ahp_fuzzy_ahp_ensemble,0,AHP_Fuzzy_AHP ensemble from NBS AHP_FUZZY WEIGHTS.xlsx; provisional pending supervisor validation
